dataFrom,date,review,rating,extracted_devresp,devresp_time
appStore,20240306 083637,Great banking app with attractive interest rates Please allow us to add andor save payees so we dont have to keep typing out UEN numbers or account numbers Would be nice to be able to add the debit card to Apple Pay too,4,Hi Eugene Were thrilled to know that you like our app and our promotions Rest assured were continuously working hard to enhance our features to improve your experience We cant wait for you to try them out in the future Thank you for your support ,20240308T025335Z
appStore,20221109 031316,"A bank like no other no bank have such amazing feature to separate your money into different pockets to keep track of your goals Moreover the interest rate they give is the highest for the no effort Interest are being deposit daily and its amazing to see  coming in to the bank daily 

The user interfaces is so intuitive that every button can be found with your eyes close that makes money transfer so much smoother Also the colours is so slick that I want to turn the app on everyday just to look at it and see the daily interest

Lots of potential for the product and I cant wait to see more of it",5,Hi Dfdsa132 Were delighted that you love our Saving Pockets features our high interest rates offering and app design  We strive to improve our app and products to serve you betterThank you so much for your 5star review it made our day ,20221110T121209Z
appStore,20230909 083343,"Notice that the drop in interest rate of 08 in saving accounts GXS just come out with a reason to say many consumers want a increase in interest rate in main accounts as most of their funds are there to get the 12x points for dash and grab spending Hence they decrease the interest rate to 268 in saving account and increase to 238 in main account 

The thing is GXS can increase the main account interest and maintain the interest rate in saving account They will attract more consumer in this case However they use this opportunity to decease the interest rate in saving account instead and use the consumer as an excuse for the decrease

I am very disappointed in GXS and have close my account in GXS There are other banks offering a higher interest rate such as OCBC and UOB for saving accounts No point sticking to GXS",1,Hi there Were sorry to make you feel that way and well definitely take this in as a feedback Rest assured that were constantly working hard to improve the experience for all our customers and would be delighted to be given the chance to serve you again in the future  r,20230911T011906Z
appStore,20230627 040139,"Sending money into my GXS account is a breeze and instantaneous  regardless of the amounts Im able to immediately see that my funds are in GXS 

Transferring money OUT is a huge issue Since June Ive had problems transferring amounts higher than 500 back to my other banking accounts each time a red banner will pop up and said something went wrong please try again later TODAY I cant transfer more than 1000 back to myself  even the 1000 had to be transferred in TWO transactions of 500 each Customer service officers did their best to help each time but its annoying that the advice provided killing the app relogging in with SingPass still dont work",2,Hi Kenny thank you for alerting us to this issue This is not the experience we want you to have We are sorry for the inconvenience caused and eager to make things right for you  For us to take a closer look at it please reach out to us directly via our inapp live chat or drop us an email at helpgxscomsg ,20230628T090848Z
appStore,20221002 041749,I have to say that the UIUX is one of the best one Ill have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design which is critical as most banking products doesnt differ much for any banks out there Please make it available asap cant wait to see what you have to offer,5,Hi Mephosis we are happy that you like our app This review made our day nWere also excited to have you on board  n,20221004T054950Z
appStore,20230423 145416,Have been waiting for a slot for the account since GXS started and have been waiting until now about 7 months and still nothing whenever anyone ask for why the excuses given are still mostly the same with no actual changes or improvements people cant help but compare to the other bank trust bank Singapore that also launched just 1 day before GXSs launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long,1,Hi Mech20101 we hear you and we are truly sorry and humbled by your interest to be part of our growing community Slots for the current batch of invitations have been filled Invitations will be sent to eligible individuals when new slots open up Truth be told we cant wait for you to be part of our banking glowup Stay tuned ,20230425T013524Z
appStore,20230105 070813,"Great app with awesome design and theme unlike traditional banking institutions Provide high interest rates and suitable for targeted group of audience Ratings were probably dragged down by reviewers who rated 15 because they couldnt sign up  as GXS bank is rolling out to users by batches

Overall a good experience ",5,Welcome aboard alexfonghere  We are thrilled to know that you love our apps interface We work hard to meet expectations like yours and were happy to hear we hit the mark for you ,20230107T010116Z
appStore,20230913 153005,Hit with fast reversal when transferring money to this gxs bank first time in my life a fast transfer didnt succeed Googled for recent reviews and social media on this gxs bank Mostly bad reviews and issues I dont need developer reply to my review here as Im absolutely not going to touch this bank anymore And biggest joke of all you dont even have the most basic banking feature to save payee details What kind of app development staff and quality is that,1,Thank you for your valuable feedback Were actively working on adding the payee feature to our app If you ever encounter any issues in the meantime please dont hesitate to reach out to our 247 hotline and well be happy to assist you Your input is much appreciated,20230914T020147Z
appStore,20221210 113255,Very easy to use user friendly and intuitive Nice design of the app making it easier to navigate the app Saving pocket is an interesting and useful feature cant wait to explore and use more of the app,5,Hey there thank you so much for your kind words about our app We put a lot of effort into the app to make it intuitive and easy to navigate so we are glad to hear that it has paid off We are constantly working on new and exciting features and we cant wait for you to try them out in the future ,20221212T013946Z
appStore,20220908 071448,"What a joke Nothing happens after you input your phone number  nothing 

Itll be so much and I dont exaggerate when I say this so much faster for you to travel from one end of Singapore to the other to open an account at a traditional bank branch 

One piece of advice to the management of GXS Bank  do not launch if you are not ready You are a joke Please look at Trust Bank Simple and easy to use Account opened in like 2 mins",1,Hi there We are in early access phase and invitations are sent out in batches Look out for an email from us,20220909T135008Z
appStore,20231121 092211,Honestly is my first time depositing digital banking A lot worry  But at the end is a great experience I believe a lot of us wanted is the return  And they offer very high interest Will continue to deposit Thank you,5,Hi there Thank you for taking your first step to digital banking with us Your review means the world to us  We have been busy working on new and exciting stuff and we cant wait for you to try them out in the future ,20231111T173131Z
appStore,20230822 102246,"My biggest frustration is that I cant save payees when sending money  Everytime I need to transfer funds I have to select a transfer type and fully type out the account number payees name and select the bank

This is incredibly tedious esp for accounts I pay frequently Without this fundamental feature a payee list its easy to make mistakes entering long account number name and bank name each time",1,Thanks for sharing with us your thoughts on this KiloBites We greatly appreciate your feedback and look forward to continuously improving our GXS app Rest assured that great things are in the works ,20230813T005152Z
appStore,20240111 084828,Best bank to save up and best bank in receiving cash back And also so happy to be able to win a lucky draw from here Hopefully things get much better in this year,5,Hi Morrrrraaaa were thrilled to to know that you like our app and our promos  We have been busy working on new and exciting stuff and we cant wait for you to try them out in the future Cheers to 2024 ,20240113T014217Z
appStore,20230605 150014,App is very responsive and interface is simple but comprehensive Transaction speeds are very quick too,5,Thanks for the awesome review Were thrilled that you find our app highly responsive with a simple yet comprehensive interface Were here to make your banking experience topnotch Enjoy the app   ,20230607T011422Z
appStore,20221031 051802,Despite a lengthy onboarding but my account got approved promptly I like that the app is snappy and easy to use Waiting for credit card so that I can switch to GXS as my main account,5,Hey therel Happy to hear you like our app Were just as excited  Thank you so much for your 5 star review ,20221101T074922Z
appStore,20231116 192912,"GXS offers seamless fast and super effective digital services 
Never ever I had such experience with other banks GXS definitely is the bank of future 
You must try it to believe",5,Hey MikeEkimC Were absolutely thrilled that you fell head over heels for our app  Thank you for your 5star review it made our day ,20231118T074617Z
appStore,20221006 020555,"I recently used this digital bank which has many security features and user friendly UI
I 100 recommend to used this App",5,Hi Mani Thank you for your 5 stars review  We are thrilled to know that you like the app security and our user interface  We work hard to meet expectations like yours and were happy to hear we hit the mark for you,20221007T072238Z
appStore,20221216 025005,The apps interface is really user friendly and sleek It loads very fast as well cant wait to start using this digital bank app ,5,Hey there Thank you for your 5 stars review  We are thrilled to know that you love our apps interface and were constantly working to make it even better  ,20221217T084026Z
appStore,20230912 051029,Already 1 year but basic functions like adding payee is not in the app Its so troublesome to transfer funds to different bank accounts With your latest move to reduce interest to 268 has made me feels like maribank is better even with slightly lower interest rate because they knows what basic functions to include in the app,1,Hi there thank you for your valuable feedback  We appreciate you taking the time to share your thoughts with us and have captured this as part of our continuous improvement process r,20230913T171913Z
appStore,20240224 061202,Extremely disappointed with the GXS app Despite consistent use on the same device for a long time it suddenly stopped allowing money transfers with explanation device changed This lack of clarity and abrupt disruption in service is unacceptable Terrible user experience deserves only 1 star,1,Hey there Were sorry to hear about your experience  We understand the importance of this matter and are committed to make things right for you Could you please get in touch with us via Live Chat or call at 65 3105 2055 so that we can assist you further Wed be happy to make things right for you ,20240225T175731Z
appStore,20231207 072102,Wish more people can download and use and more rewards can be given,5,Hi Adrian Were thrilled that youre enjoying our app features Its heartening to know our services have been beneficial and positive for you Were hopeful that our future reward features will continue to satisfy and excite you ,20231208T174406Z
appStore,20231111 071842,Can try for saving money  My money said they liked there,5,Hey there We are happy that you like our app You have made our day and we are definitely striving to improve our products to serve you better ,20231113T051858Z
