,key,review
0,User interface issues,I have to say that the UIUX is one of the best one Ill have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design which is critical as most banking products doesnt differ much for any banks out there Please make it available asap cant wait to see what you have to offer
1,User interface issues,User friendly
2,User interface issues,Great UI and userfriendly
3,User interface issues,Friendly user
4,Account sign up issues,Have been waiting for a slot for the account since GXS started and have been waiting until now about 7 months and still nothing whenever anyone ask for why the excuses given are still mostly the same with no actual changes or improvements people cant help but compare to the other bank trust bank Singapore that also launched just 1 day before GXSs launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long
5,Account sign up issues,When I sign up cant sign up always say oops something went wrong please try again
6,Account sign up issues,Cannot sig up
7,Account sign up issues,Well done
8,Account sign up issues,Cannot register keep nothing pop up On sign up
9,Account sign up issues,Am trying to redo application So i closed account Now cannot re open Quote lost in space
10,Account sign up issues,after two week still pending my account
11,Login issues,Deleted the app Sick of it serving no other purpose currently than being a lead generator
12,Login issues,cant logging using finger print  previously still able to use  so pissed off with the update 
13,Login issues,Im stuck on the singpass page without being able to proceed All is updated to latest ver
14,Login issues,Cannot sig up
15,Login issues,Couldnt use the app suddenly
16,Login issues,Almost perfect I want to transfer via bank account number but they do no allow me to save the bank details so Im stuck twitch manually entering the details everytime when I need to do transfer which can be prone to human error
17,Login issues,Cannot log in
18,Login issues,Am trying to redo application So i closed account Now cannot re open Quote lost in space
19,Login issues,Firstly i cant even log in shows some error n stuff haiz
20,Login issues,Have not even tried already failed on me Just to download has the error and ask to download again  
21,Login issues,App not working
22,Login issues,Cant work 
23,Fingerprint login issues,cant logging using finger print  previously still able to use  so pissed off with the update 
24,Fingerprint login issues,Fingerprint login no longer work since 2 months back all other bank apps doesnt have such issues
25,Application processing issues,They unable to process my application 4x attempt
26,Application processing issues,Just found out that they are reducing their interest rate to a pathetic 268 dont like this bait and switch marketing strategy lure us with high interest rate then suddenly drop the interest rates once they get enough sign ups Update Whats the point of increasing the main wallet interest when no one puts money there Its not like youre increasing it back to 348 right The pt is the big reduction of the Pockets interest rates which is the key thing that people arent happy about
27,Interest rate issues,I hope the GXS Bank can given the interest 10 pa as deposit 1 into the saving account as a free gift 
28,Interest rate issues,Easy to register and deposit Clean UI interface
29,Loan approval issues,Easy to apply good full amount of loan given compare to outside or lending bee  or they never cut your loan amouny  interest can be save if payment early multiple loan also can only it could be better if can increase loan amount after loan given  or can be resgistet again once deleted
30,Transfer issues,The apps interface is really user friendly and sleek It loads very fast as well cant wait to start using this digital bank app 
31,Transfer issues,Show allow to increase amount not reduce and stay that way For a first timer I didnt know that once I reduce amt I cannot get back the original amount that is given to me
32,Transfer issues,Almost perfect I want to transfer via bank account number but they do no allow me to save the bank details so Im stuck twitch manually entering the details everytime when I need to do transfer which can be prone to human error
33,Transfer issues,Easy to use Fast transfer
34,Transfer issues,Great rates easy to use get Grab points just by linking the account
35,App performance issues,
36,App performance issues,Attempt to try but it keep post something wrongcannot go thru the appsdont know why3 times try even more but still cant get thru
