,key,review
0,Difficulty logging in,I am unable to log in today when i could yesterday I cant transfer my money out to use There is no alternative like physical counter or website so my money is stuck when i urgently need my money
1,Difficulty logging in,Cant even open the GXS app the only way to access your account with a digital bank Its like placing your money and cementing it with a roof and 4 walls with no doors
2,Difficulty logging in,Unable to open the app and use my funds Is this some kind of cash grab
3,Difficulty logging in,I installed the app and got to the first screen When I tried to proceed it popped up a message saying and there is an overlap app that is NOT SECURED It then asked if I want to proceed What is this about
4,Difficulty logging in,such a lousy app cant even login or set up account
5,Difficulty logging in,App is not clear and Singpass details are not accurate for them It didnt allow me to open an account
6,Difficulty logging in,Everytime successfully signec up after log in numerours time it told me we have lost you in space Poor online banking
7,Unclear instructions or app design,App is not clear and Singpass details are not accurate for them It didnt allow me to open an account
8,Unclear instructions or app design,Great experience Setup top up setup pocket and transfer smoothly
9,Unclear instructions or app design,App is snappy Interface is simple and straightforward Most importantly interest is attractive Keep it up By the way please add Save payee feature
10,Unclear instructions or app design,You app downloading alway show technical priblem why
11,Technical problems during download or installation,You app downloading alway show technical priblem why
12,Technical problems during download or installation,Not able to sign up the loan portion using singpass It keep showing logging in for the past 10 minutes
13,Technical problems during download or installation,Doesnt work on my phone cannot click and cannot scroll anything Only works if I open it as a mini popup app Had to create an account via someone elses phone Please fix
14,Issues with SingPass integration,For 1st time registration signup by singpass and all infos needed but still my application is denied
15,Issues with SingPass integration,App is not clear and Singpass details are not accurate for them It didnt allow me to open an account
16,Inability to open savings pocket,Unable to open the app and use my funds Is this some kind of cash grab
17,Incorrect income extraction,"Income extracted from SingPass is incorrect
Information in SingPass is correct
Which means the process of extracting information needs to be updated"
18,Lack of certain features,Needs a feature to save payees
19,High interest rate only lasting for a short period,348 interest rate only last for 2weeks the main selling point for this app is now dropped to 268 pa 
20,Difficulty signing up for loans,Not able to sign up the loan portion using singpass It keep showing logging in for the past 10 minutes
21,Poor user experience,such a lousy app cant even login or set up account
22,Poor user experience,Simple to use Took a short while to know how to process Hope that they can maintain the great interest Good job GXS
23,Poor user experience,The bank is not ready at all Im your ecosystem user This is how you treat you ecosystem customer
24,Inability to save payees,Needs a feature to save payees
25,App keeps saying technical problem,Can GXS pls explain why the app keeps saying there is unexpected error and I cannot even open the app
26,Graphics and theme issues,Beautiful graphics and theme userfriendly
27,Authenticity concerns,Is this really an authentic app for GXS Looks cheap
28,Restricted to PR and SP only,Only for PR and SP
29,Bank not ready or part of ecosystem,The bank is not ready at all Im your ecosystem user This is how you treat you ecosystem customer
30,Others,Cant open
31,Others,"Notice that the drop in interest rate of 08 in saving accounts GXS just come out with a reason to say many consumers want a increase in interest rate in main accounts as most of their funds are there to get the 12x points for dash and grab spending Hence they decrease the interest rate to 268 in saving account and increase to 238 in main account 

The thing is GXS can increase the main account interest and maintain the interest rate in saving account They will attract more consumer in this case However they use this opportunity to decease the interest rate in saving account instead and use the consumer as an excuse for the decrease

I am very disappointed in GXS and have close my account in GXS There are other banks offering a higher interest rate such as OCBC and UOB for saving accounts No point sticking to GXS"
32,Others,You get the highest saving interest rate on the market
33,Others,Nice And Fast Bank
34,Others,Love the interface and saving pocket is so unique cant wait to meet my deposit goal
35,Others,Fast and easier way to get the loan amount as a foreigner i cant make but my friend helped me it will be useful if foreigner also can borrow This is a suggestion Thanks
36,Others,Gave an application to open account but the bank decided to cancel opening new accounts and the bank didnt even bother to inform clients May be its a gods sign to save my money
37,Others,Easy to use and log in Very clean instruction
38,Others,Why do the app ask me to rate on Play Store if my rating on the app is 5 but there was no such questions when I put a 1 rating on the app It encourages unfair ratings on the Play Store
39,Others,Great experience so far
40,Others,The UIUX of the app is definitely the best amongst the banks right now looking forward to more products
41,Others,Awesome app for use
42,Others,Only Singaporean can apply for loan good if everyone can apply
43,Others,Such a great service compared to Bank
44,Others,My fav feature is the saving pockets cant wait to build my savings with the good interest rates amazing user interface
45,Others,Ease of use
46,Others,No more long waits and tons of paperwork to open a bank account Looking forward to how GXS can generate a stronger value proposition for consumers
