,key,review
0,Difficulty signing up,I cant sign up at all It just go blank after I click up with singpass
1,Difficulty signing up,Tried to sign up using singpass After approve and redirect to the app it still keep asking me to sign up useless app
2,Difficulty signing up,Unable to use at all
3,Difficulty signing up,Hi I try log in with singpass but unsuccessful thanks
4,Difficulty signing up,Insecure app beware folks I applied using my singpass and instead of reviewing my own details I saw someones details on my screen instead race name DOB employer name on next step etc I was shocked Took a screenshot Incase anyone wanna verify with me
5,Difficulty signing up,Cannot sign up already
6,Difficulty signing up,Gave up Is hopeless
7,Long waiting list,1 long waiting list 2 everytime i log into waiting list its as if Im not in the waiting list as they ask me to sign up to be in the waiting list  alr 4 time alr 3 of course Im still not in the GXS list Had sent light for the long wait Meanwhile while it isnt approved Ill delete since I wont be able to use it  No spaces
8,App freezing or becoming unresponsive,I cant sign up at all It just go blank after I click up with singpass
9,App freezing or becoming unresponsive,Tried to sign up using singpass After approve and redirect to the app it still keep asking me to sign up useless app
10,Slow login process,1 long waiting list 2 everytime i log into waiting list its as if Im not in the waiting list as they ask me to sign up to be in the waiting list  alr 4 time alr 3 of course Im still not in the GXS list Had sent light for the long wait Meanwhile while it isnt approved Ill delete since I wont be able to use it  No spaces
11,Poor customer support,No support for SGQR When only way to spend is QR pay atleast support SGQR GrabPay as very few business have Paynow QR
12,Poor customer support,Hopeless app If you cant auto startup singpass app how to complete the registration
13,Issues with Singpass integration,Hopeless app If you cant auto startup singpass app how to complete the registration
14,Issues with Singpass integration,Hi I try log in with singpass but unsuccessful thanks
15,Issues with Singpass integration,Great app Kudos to the GXS team in developing such an amazing app Excited to see what more this product can do
16,Inability to access funds,"What if I urgently need access to my money This is not the way to go
"
17,Interest rates dropping,Interest rate dropping substantially after just ONE MONTH Kind of hilarious Moving out
18,Frustrating user experience,DO NOT USE THIS APP So frustrating on this app 3 times I tried to move a small portion of money out of my pocket 3 times the pocket becomes 0 straight away and I cant movetransfer my money out
19,Frustrating user experience,An absolutely rubbish apps with zero chance of getting loan approval totally useless
20,Frustrating user experience,Dogshit app that takes forever to setup and days to review applications
21,Frustrating user experience,I cant seem to register
22,Difficulty registering,Great app Kudos to the GXS team in developing such an amazing app Excited to see what more this product can do
23,App design issues,Registering get the notice its full and sign for interest Received email notification sign up to get prompt to sign for interestagain
24,Security concerns,Insecure app beware folks I applied using my singpass and instead of reviewing my own details I saw someones details on my screen instead race name DOB employer name on next step etc I was shocked Took a screenshot Incase anyone wanna verify with me
25,Cannot apply for loans,Cant even apply apps doesnt work
26,Cannot open the app,Can not open
27,System errors,Hi is something wrong with the app Am error message says Something went wrong when I tried to log in with the Passcode I set yesterday
28,Others,Looks cool and sleek Can I get an invite if I give a five star review 
29,Others,Looking at past review and after installing the app I must say the effort to launch progressively paid off instead of rushing into it Was kind of concern if this is going to take off but I guess the objective is to ensure a safe bankng experience rather than rushing to grab the market No observable bug and smooth sign in process
30,Others,After setting up the account today Login to GxS screen become unresponsive Phone Samsung S22 ultra
31,Others,Best and fast loan approval
32,Others,seamless
33,Others,Easy to use
34,Others,Ok Good system
35,Others,
36,Others,Been using this bank for a while now and didnt face any major problems What I enjoyed the most is the saving pockets area where we could create different pockets for each saving we want to do and even add goals into it The 268 per annum is added daily 001 as long as you have a minimum of 150 in your savings If not youll have to wait till your it accumulates up to 001 to be added There was also cashback when you make payment using the card which I didnt know till recently
37,Others,Simple straightforward to use with no bugs Great experience
38,Others,Like the app design especially the pockets for savings Just waiting for the 5000 limit to be lifted
39,Others,Easy to use and nice UIUX Saving pockets is an interesting and useful feature
40,Others,Efficient
41,Others,J got recommended to try out this app by a fren and i love it Its convenient and easy to use and i can see myself committing to this in the long term 
42,Others,THIS LITERALLY SAVED ME i recommendation is high as the giant touches the sky
43,Others,Easy to use with high interest rate
