,key,review
0,Lack of basic functions e g saving a payee,Lack the basic function to save a payee
1,Unable to open join account,"useless app  unable to join or open account
app is not open to all in sg"
2,Unable to open join account,Cannot open the apps Why partner with Grab Useless app
3,Unable to open join account,The apps cannot make it I tried to apply for a loan After filling up all the forms unable to proceed after the last question are you a US citizens The next button does not pop up be the answer is yes or No
4,Unable to open join account,Cui full Cannot sign up Only on waiting list What a waste
5,Unable to open join account,Lousy app Applied on Saturday and was informed that application closed on Tuesday Waste time
6,Unable to open join account,Unable to sign up using singpass after multiple times
7,Long waitlist to sign up,Cui full Cannot sign up Only on waiting list What a waste
8,Poor customer support,Buggy app and bad customer support
9,Scan QR code failure,Scan QR feature failed big time Parsed 162 as 1602 Amatuer mistake Did the developer of this feature attend more than a day of class in CS
10,Frequent app crashes,Crash upon login into a newly created account Reinstall and still the same Im on Android 13 phone
11,Unclear loan approval criteria,What is the criteria to approve the loan Each time my hubby and I tried to apply loan multiple time it get rejected I wonder how much do we need to earn every month to get the loan approved If you have some rules and criteria then state it out so people wont waste time applying
12,Difficulty in deleting personal details,How to cancel or delete all my personal detail submit on GXS app thru Singpass
13,High interest rates not advertised as stated,Lousy High interest rate Not advertise as stated in the media Scam
14,Some interface covers on mobile,Over all goodbut some interface cover on mobile phoneThank
15,Buttons not responsive,Cant even click log in on galaxy s23 ultra
16,Buttons not responsive,Screen loaded but when no response when I press I have an account
17,Overlapping wording,Over lapping wording Pull down refresh need to tweak more does not feel smooth it all Opening of account does not work if you are connected to WiFi
18,Issues with signing up using SingPass,Unable to sign up using singpass after multiple times
19,Forever logging in,App got a lot of issues forever logging in singpass when want to get an account
20,Buggy app,Buggy app and bad customer support
21,Modern design but poor user experience,"Great app with awesome design and theme unlike traditional banking institutions Provide high interest rates and suitable for targeted group of audience Ratings were probably dragged down by reviewers who rated 15 because they couldnt sign up  as GXS bank is rolling out to users by batches

Overall a good experience "
22,Modern design but poor user experience,Love the modern design user experience was great as well
23,Reliability issues,Could be scam
24,Reliability issues,False promise so fast change interest rate
25,No updates to keep the app current,Reminder please up to date your app for users to activate Gxs debit physical card Currently facing a small issue with logging in my GXS app  only through the app  5 secret digit number to input All the best to new peeps have same trouble as me Cheers
26,False promises,False promise so fast change interest rate
27,High number of issues,App got a lot of issues forever logging in singpass when want to get an account
28,Not worth the effort to sign up,Not worth the effort to sign up Not transparent in application selection process
29,Difficulty navigating the app,Lack the basic function to save a payee
30,Slow transfer speed,Everything is perfect Ease of use Fast transfer for quick cash Repayment is easy and low interest This app is a life saver literally 
31,App freezes,best app experience looking forward for more breakthrough features in digi banking
32,Others,reliable and quick response
33,Others,Guys u guy to try this out
34,Others,Love the savings pockets and daily interest
35,Others,Not so good im not citizent or pr but ipen saving account also can not
36,Others,Overall is a good app Just that why maximum cash is 5k Make it 20k with higher interest rate
37,Others,Nice
38,Others,Cant even open the app after downloaded ittry redownload it a few time also same
39,Others,app is really easy to navigate userfriendly
40,Others,The app is very user friendly and easy to set up I personally like the way they take information security seriously by making sure our phone is secure via pin authentication With all thats happening around makes me so much more reassured that they take security seriously
41,Others,Easy to use Hopefully can raise the deposit cap soon
42,Others,Great App Easy to use
43,Others,Wish more people can download and use and more rewards can be given
44,Others,Sorry to have said this why not this gxbank through by gxbank for worldwide
45,Others,A whole new era of banking Go GXS or go home 
46,Others,Easy to use and fast
47,Others,Good
