,key,review
0,Difficulty logging in,Try logging in after logging out completely Cannot see Singpass QR at all How to log in again Something wrong with new updates
1,Difficulty logging in,Occasionally getting unable to login error
2,Difficulty logging in,I not be able to log in GXS bank today after I pay off my 1st outstanding loan Is there a bug or hack I hope my  was offset for the loan Even even I restart power on off my phone after updating the app I unable to log in When I log in with fingerprint keep loading Pls help
3,Difficulty logging in,I have been trying for few hours to signed up for the flexiloan using Singpass till now it shows couldnt retrieve Myinfo wanted to Live Chat with anyone for assistance but theres no icon showing Live chat at the help center at all
4,Unable to open the app,Unable to open the app once Ive installed
5,Unable to open the app,One of the worst app I ever installed Such a proclaimed digital bank yet cant even get the app to work properly Since day one till now after sign up the app never works keep stating slipspace If you cant get the app work properly then dont launch it How to trust and put our money in such an app if it doesnt even work properly Trust app is so much better
6,Freezing and crashing,Always freezing and crashes
7,Poor integration on iPad,"21 Jul 23
The integration on iPad is off The first time login requires SingPass as a safety feature but it doesnt generate a QR Code Devs should consider a workaround 

Pending dev feedback before rating change"
8,Unable to make payment using PayNow QR code,"I was trying to make payment using Paynow Qr code using scan and pay Merchant create a dynamic QR code of payment 157 but the GXS app scan and pay read in as 1507
Pls advice to correct the mistake as it make me and merchant very inconvenience"
9,Lack of web interface,No web interface forced to use the app
10,Unable to set up account on certain devices,Cannot set up my account in redmi 8T Reach the email 2FA before I key in the numbers App closed
11,Unable to set up account on certain devices,Easy and simple to use for transfer money High interest rate
12,Occasional errors and bugs,When to sign up for the account in last year august 5 months has pass still waiting Please help to solve the issue
13,Occasional errors and bugs,Same cannot open the apps now What happened
14,Occasional errors and bugs,Cannot seem to open the app suddenly Did not install new apps or change any setting on phone Tried uninstalling and reinstalling still no avail Although your CSO has been trying to rectify it is still unsolvable Sad as when it first came out I was the one of the many who applied in the beginning stage Your services helped me But now I have no access to it
15,Occasional errors and bugs,Good to see increased competition in the banking space high interest is good but inexplicably only given within a saving pocket but GXS app lacks basic functionality eg ability to save payees at the point of writing this review these details need to be reinput each time  irritating and error prone Suggest that rather than working on cool but otherwise nonessential functions like saving pockets the company should focus on the basics first
16,Occasional errors and bugs,Smooth app with fast onboarding Im unable to add fund to pocket with decimals due to numeric keypad
17,Lack of customer support,Was rejected without details
18,Lack of customer support,I wish we can put a 0 star for it Make you create an account wait for it only to tell you that it is full while others cut queue to have the account created while you continue to wait Probably just out to farm your data Dont bother
19,Negative user experience,Easy and fast app
20,Negative user experience,Easy to use  very helpful 
21,Negative user experience,Easy of use
22,Negative user experience,Superb
23,Negative user experience,The overall design of the app is great but the CNY banner looks so out of place in the latest version
24,Negative user experience,Amazing app experience
25,Negative user experience,Not ready to roll out completely Aint even allowed to create an account without an invitation
26,Others,Pockets are unique and useful
27,Others,Terrible dont use this bank
28,Others,Nice app Love the Saving pockets
29,Others,Updated  Kindly ignore my previous rating and I have amended my rating My son did a Giro to link his Grab Account to GXS but neglected to inform us of the transaction
30,Others,Love the function of having multiple pockets as it helps me to track each target accordingly Thank you for the genius allocation Would have given 45 if there was with the 05 hoping for unlimited numbers of pockets 
31,Others,Great savings rate
32,Others,Poor try attempted but still cannot  Terrible app
33,Others,"Personally dont like the theme anyway allow user to change more brighter one
Dark color me uncomfortable "
34,Others,Great features Love it
35,Others,Wow
36,Others,Year 2023 a banking app that cant save pay are you living in yesteryears
37,Others,Very good app
38,Others,Friendly use apps
39,Others,Great bankGood interest rate
40,Others,This app is easy to use
