,key,review
0,Difficulty logging into the app,Having problems logging onto the app It says my phone cannot be used for GXS as it has been modified in someway I just logged in this morning with the same phone with no problems Please advice
1,Difficulty logging into the app,Unable to login or use the forgot password function System only replied with something wrong please try again later Now I was told I must wait for the next version of app to be rolled out progressively before I can login Hopefully wont take too long
2,Difficulty logging into the app,blank screen after they pull all my Singpass data terrible digi bank waste of time taking my money to other banks my phone is updated latest OS not jailbroken all official and secure
3,Difficulty logging into the app,Cant launch Stalled at invisible layer Then receive crashed notification
4,Difficulty logging into the app,Cannot tap on Join The Revolution or anything
5,Lack of debit card,No debit card Max interest reduced to only 265 now within one month of start
6,No option to add payees,No option to add payees
7,Unable to utilize Join The Revolution feature,Cannot tap on Join The Revolution or anything
8,App freezing or stalling,Cant launch Stalled at invisible layer Then receive crashed notification
9,Lack of availability for early sign up,All early sign up slots taken I thought its already open for all to sign up 
10,Poor user experience     Note Some positive comments are included in this issue,Did an intern write that script Nice
11,Poor user experience     Note Some positive comments are included in this issue,Not working properly
12,Poor user experience     Note Some positive comments are included in this issue,User friendly
13,Poor user experience     Note Some positive comments are included in this issue,Intuitive interface
14,Others,Very easy to use user friendly and intuitive Nice design of the app making it easier to navigate the app Saving pocket is an interesting and useful feature cant wait to explore and use more of the app
15,Others,Awesome easy n fun to use 
16,Others,The app is easy to navigate and optimise for people of all ages
17,Others,Brilliant app design fast transactions excellent rates Keep up the good work What more can I say
18,Others,Best bank to save up and best bank in receiving cash back And also so happy to be able to win a lucky draw from here Hopefully things get much better in this year
19,Others,The app is super easy to use and I love the saving pockets that allow me to easily set money aside for my goals
20,Others,Gxs provide good interest for their pocket savings
21,Others,It really helps when really in need So easy to do it Its at your fingertips
22,Others,"Received email invite from GXS saying that I am now able to open an account After finishing the entire onboarding application I am told they are unable to proceed with my application saying Its not you its us 

Ummmm okayyyy"
23,Others,Good job GXS
24,Others,the app is easy to navigate and the UIUX is excellent I love the saving pockets and the good interest rates definitely worth the wait and has a lot of potential 
25,Others,heheh
