,key,review
0,Difficulty processing application,They unable to process my application. 4x attempt
1,Difficulty processing application,Lousy app. Applied on Saturday and was informed that application closed on Tuesday. Waste time.
2,Login issues,is there a login issue now
3,Login issues,"Cannot login all of a sudden. Tried to uninstall and reinstall. Still no changes. What do i do here? I've got a pending repayment due. And if this continues, i will mostly probably be charged the late interest due the the app have login issues."
4,Login issues,"Hi, is something wrong with the app? Am error message says ""Something went wrong"" when I tried to log in with the Passcode I set yesterday."
5,Crashing freezing,Attempt to try but it keep post something wrong.cannot go thru the apps.dont know why?3 times try even more but still can't get thru?
6,Crashing freezing,Crash upon login into a newly created account. Reinstall and still the same. I'm on Android 13 phone.
7,Crashing freezing,"Once login, it just hang there and when try to use it in grab app it just say that my phone unable to use this app"
8,Crashing freezing,Intuitive and User-Friendly Interface. No doubt there are further improvements to be made. Looking forward to what the digital banking scene has to offer! Suggestion to have an interface/section for users to offer feedback & suggestions for potential pain points/improvements.
9,Unable to cancel delete personal details,How to cancel or delete all my personal detail submit on GXS app thru Singpass?
10,Misleading advertising,"Misleading advertisement for flexiloan promotion for July 2023, stated rate as low as 2.99% p.a. Issued a rate that was extraordinary and way beyond all major banks that would offered even at their highest peak rate. A real shock of disbelief, thinking was a sign-up bug but it ended to be their best rate offered. Would be really cautious on signing up any offers from GXS even though their app user interface, interaction, and wording do project confidence in honoring their offer."
11,Issues with Flexiloan,Gxs Flexiloan doesn't work even though I meet the eligible criteria..
12,Issues with Flexiloan,Good to have the UI updated. Only issue now is the 5k max deposit.
13,Lack of customer support,"Dumbest banking app ever. Get your own people to put 5*, never seen such app before, if you are good then make the app good and give 3.48%"
14,Lack of customer support,App is snappy. Interface is simple and straightforward. Most importantly interest is attractive. Keep it up! By the way please add 'Save payee' feature.
15,Unclear error messages,"""Oops something went wrong! ..."" (if only i can attach a screenshot)"
16,Limited attempts to use the app,They unable to process my application. 4x attempt
17,Limited attempts to use the app,"How many attempts for the year. Until now, message still the same. It’s not you, it’s us. We understand that receiving this news may be disappointing. And while we’re unable to disclose the specific reasons why your GXS FlexiLoan application wasn’t approved, please know that every GXS FlexiLoan application goes through an evaluation process that must meet our eligibility criteria and internal assessment requirements."
18,Limited attempts to use the app,Attempt to try but it keep post something wrong.cannot go thru the apps.dont know why?3 times try even more but still can't get thru?
19,Difficulty registering and depositing,Crash upon login into a newly created account. Reinstall and still the same. I'm on Android 13 phone.
20,Confusing interface,Best get back to the drawing board. Design thinking  forget about the  many “dumb” users out there including me.
21,Limited features,"A feature they should implement is to save your recipients which you FAST to, makes it a lot safer as it prevents mistaken sending of funds to unintended recipients after the 1st transfer."
22,Others,"Sleek, simple to use."
23,Others,Very convenient and easy to understand and use
24,Others,Great features! Love it!
25,Others,Invitation fr Singtel. Trying my luck first and it was a very fast approval on a Sunday. Love the fact that we can take any amount fr our credit limit.
26,Others,"Very easy to use, user friendly and intuitive. Nice design of the app making it easier to navigate the app. Saving pocket is an interesting and useful feature. can’t wait to explore and use more of the app"
27,Others,"Love the interface and saving pocket is so unique, can’t wait to meet my deposit goal!"
28,Others,"Love the modern design, user experience was great as well."
29,Others,"App is very responsive, and interface is simple but comprehensive. Transaction speeds are very quick too."
30,Others,Super efficient 👍
31,Others,"Like the app design, especially the pockets for savings. Just waiting for the $5000 limit to be lifted."
32,Others,"The app’s interface is really user friendly and sleek! It loads very fast as well, can’t wait to start using this digital bank app :)"
33,Others,Easy to register and deposit. Clean UI interface.
34,Others,"Personally don’t like the theme, anyway allow user to change more brighter one?
Dark color me uncomfortable 😞"
35,Others,Pockets are unique and useful
36,Others,Smooth app with fast onboarding. Im unable to add fund to pocket with decimals due to numeric keypad.
37,Others,J got recommended to try out this app by a fren and i love it! It’s convenient and easy to use and i can see myself committing to this in the long term! :)
38,Others,"app is really easy to navigate, user-friendly"
