Topic,Issue,Solution
App Responsiveness,Difficulties in account registration,Improve the error messages to provide more information on why the registration is failing.
App Responsiveness,Difficulties in account registration,"Test the app thoroughly on different devices, including iOS, before rolling it out to ensure smooth service recovery."
App Responsiveness,Difficulties in account registration,Allow access to funds through a browser as a backup option in case of app failures.
App Responsiveness,Difficulties in account registration,Provide updates to affected users regarding the progress of issue resolution.
App Responsiveness,Issues with loan application and approval process,Clarify the criteria for loan approval by listing out the rules and criteria to help applicants.
App Responsiveness,Bugs and glitches in the app,"Test the app thoroughly on different devices, including iOS, before rolling it out to ensure smooth service."
App Responsiveness,Slow transfer speed and connectivity problems,Include feature to save payee details
App Responsiveness,Lack of certain features such as bank transfer,Allow users to save the bank details within the app
App Responsiveness,Poor customer service,"Test the app thoroughly on different devices, including iOS, before rolling it out to ensure smooth service recovery."
App Responsiveness,Lack of clear instructions or error messages,Improve the error messages to provide more information on why the registration is failing.
App Responsiveness,Others,Make clear that roll out is in batches to avoid confusion from users who are unable to sign up
Competition,Difficulty logging in,Check on Singpass Login feature as multiple user complained about being stuck on login
Competition,Poor customer service,Have more informative customer service replies
Competition,Unclear instructions,Improve the error messages to provide more information on why the registration is failing.
Competition,Issues with Singpass,Check on Singpass Login feature as multiple user complained about being stuck on login
Competition,Problems with opening the app,"Check on overlap app which is not secure, offer users more explanation"
Competition,Lack of auto startup,Offer users auto startup of Singpass app
Competition,Loan application issues,Check handling of Singpass login for loan application
Competition,Display overlay issues,Offer FAQ page on dual-screen devices as display overlay add-on causes app to be unresponsive
Competition,Pocket account issues,App auto exit bug (Fixed)
Competition,Issues with PayNow QR,"Look into Paynow QR functionalities, reports of issues"
Competition,Others,Look into missing 'next' button for loan application after question on US citizen.
Credit card usage,Difficulties with login forgot password,Inform users about updates on 'Forget Password' issue
Credit card usage,Lack of customer support,Provide more personalized customer support to users
Credit card usage,Poor user experience,Test the app before roll out to test users to improve app quality
Credit card usage,Limited functionality,Provide updates to users regarding the progress of account creation
Credit card usage,Others,Improve security features such as 2FA as users are concerned about app security
Credit card usage,Others,Increase the saving caps to encourage even more savings
Credit card usage,Complaints about staff asking for positive reviews,Investigate issue of inconsistent app reviews content on app store and play store
Credit card usage,Confusion about app authenticity,Provide users with confirmation the app is legitimate such as requiring Singpass login
Customer Services,Inability to save payments,Allow users to save the bank details within the app
Customer Services,Issues with GXS apps linked to Grab app,Customers Appreciated functionality of linking GXS to Grab app
Customer Services,Receiving email invites from GXS,Improve the error messages to provide more information on why the registration is failing.
Customer Services,Request for SingPass sign in feature,Add function to sign in using singpass password instead of only Singpass app
Customer Services,Lack of transparency and access to funds,Increase transparency in errors related to fund management
Customer Services,Authenticity concerns,Provide users with confirmation the app is legitimate such as requiring Singpass login
Customer Services,Inability to join or open account,Make clear that roll out is in batches to avoid confusion from users who are unable to sign up
Customer Services,Digital savings bank account issues,"Improve customer support, including live chat feature"
Customer Services,Digital savings bank account issues,Ensure QR code scanning feature is accurate
Customer Services,Digital savings bank account issues,Provide clear instructions and reasons for sign-up failures
Customer Services,Digital savings bank account issues,Add a feature to save payees
Customer Services,SingPass sign in problems,Improve implementation of Singpass for sign-up process
Customer Services,App crashing and freezing,Improve app stability to prevent crashes during registration.
Customer Services,Scan QR code failure,Ensure QR code scanning feature is accurate
Customer Services,Lack of customer support,Have more informative customer service replies
Customer Services,Others,Increase server capacity to accommodate more users
Customer Trust,Difficulty processing application,Provide clear instructions and reasons for sign-up failures
Customer Trust,Login issues,Have a public update function to inform users when login functionalities are down
Customer Trust,Crashing freezing,Include FAQ on app crashing reasons and solutions
Customer Trust,Unable to cancel delete personal details,Offer FAQ page on deleting personal details
Customer Trust,Misleading advertising,Adjust advertising to accurately display true interest rates
