dataFrom,date,review,clean_review,Topic,key,Positive Score,Negative Score,Neutral Score,Compound Score,nps_indiv,nps_category,rating,extracted_devresp,devresp_time
appStore,2024-03-06,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",User Interface,Poor login functionality,0.367,0.024,0.609,0.9622,10,Promoter,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",2024-03-08T02:53:35Z
appStore,2024-03-06,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",User Interface,Fingerprint login not working,0.367,0.024,0.609,0.9622,10,Promoter,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",2024-03-08T02:53:35Z
appStore,2024-03-06,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",User Interface,Unclear error messages,0.367,0.024,0.609,0.9622,10,Promoter,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",2024-03-08T02:53:35Z
appStore,2024-03-06,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",User Interface,Terrible user experience,0.367,0.024,0.609,0.9622,10,Promoter,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",2024-03-08T02:53:35Z
appStore,2024-03-06,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",User Interface,Lack of transparency,0.367,0.024,0.609,0.9622,10,Promoter,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",2024-03-08T02:53:35Z
appStore,2024-03-06,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",User Interface,Issues with interest rates,0.367,0.024,0.609,0.9622,10,Promoter,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",2024-03-08T02:53:35Z
appStore,2024-03-06,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",User Interface,Difficulty in signing up,0.367,0.024,0.609,0.9622,10,Promoter,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",2024-03-08T02:53:35Z
appStore,2024-03-06,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",User Interface,Compatibility issues,0.367,0.024,0.609,0.9622,10,Promoter,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",2024-03-08T02:53:35Z
appStore,2024-03-06,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",User Interface,Occasional errors,0.367,0.024,0.609,0.9622,10,Promoter,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",2024-03-08T02:53:35Z
appStore,2024-03-06,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",User Interface,Delayed response,0.367,0.024,0.609,0.9622,10,Promoter,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",2024-03-08T02:53:35Z
