dataFrom,Date,review_x,Rating,Extracted_Dev_Response,Dev_Response_Time,Clean_Review,Topic_Number,Topic_Name,Issue,Positive_Score,Negative_Score,Neutral_Score,Compound_Score,NPS_Score_Indiv,NPS_Category
appStore,2024-03-06 08:36:37+00:00,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",2024-03-08 02:53:35+00:00,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",4,User Interface,Poor login functionality,0.367,0.024,0.609,0.9622,10.0,Promoter
appStore,2022-11-09 03:13:16+00:00,"A bank like no other, no bank have such amazing feature to separate your money into different “pockets” to keep track of your goals. Moreover the interest rate they give is the highest for the no effort! Interest are being deposit daily and it’s amazing to see 💵 coming in to the bank daily! 

The user interfaces is so intuitive that every button can be found with your eyes close, that makes money transfer so much smoother. Also the colours is so slick that I want to turn the app on everyday just to look at it and see the daily interest

Lots of potential for the product and I can’t wait to see more of it.",5,"Hi Dfdsa132! We're delighted that you love our Saving Pockets features, our high interest rates offering and app design! 💜 We strive to improve our app and products to serve you better.🙏Thank you so much for your 5-star review, it made our day! 🙌",2022-11-10 12:12:09+00:00,,,,,,,,,,
appStore,2023-09-09 08:33:43+00:00,"Notice that the drop in interest rate of 0.8% in saving accounts. GXS just come out with a reason to say many consumers want a increase in interest rate in main accounts as most of their funds are there to get the 1.2x points for dash and grab spending. Hence they decrease the interest rate to 2.68% in saving account and increase to 2.38% in main account .

The thing is GXS can increase the main account interest and maintain the interest rate in saving account. They will attract more consumer in this case. However, they use this opportunity to decease the interest rate in saving account instead and use the consumer as an excuse for the decrease.

I am very disappointed in GXS and have close my account in GXS. There are other banks offering a higher interest rate such as OCBC and UOB for saving accounts. No point sticking to GXS.",1,"Hi there! We’re sorry to make you feel that way, and we’ll definitely take this in as a feedback. Rest assured that we’re constantly working hard to improve the experience for all our customers, and would be delighted to be given the chance to serve you again in the future! 🙏 \r",2023-09-11 01:19:06+00:00,,,,,,,,,,
appStore,2023-06-27 04:01:39+00:00,"Sending money into my GXS account is a breeze and instantaneous - regardless of the amounts. I’m able to immediately see that my funds are in GXS. 

Transferring money OUT is a huge issue. Since June I’ve had problems transferring amounts higher than $500 back to my other banking accounts, each time a red banner will pop up and said something went wrong please try again later. TODAY I can’t transfer more than $1000 back to myself - even the $1000 had to be transferred in TWO transactions of $500 each. Customer service officers did their best to help each time but it’s annoying that the advice provided (killing the app, re-logging in with SingPass) still don’t work.",2,"Hi Kenny, thank you for alerting us to this issue. This is not the experience we want you to have. We are sorry for the inconvenience caused and eager to make things right for you. 🙏 For us to take a closer look at it, please reach out to us directly via our in-app live chat or drop us an email at help@gxs.com.sg. 👀",2023-06-28 09:08:48+00:00,,,,,,,,,,
appStore,2022-10-02 04:17:49+00:00,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!",5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",2022-10-04 05:49:50+00:00,"['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",4,User Interface,Poor login functionality,0.141,0.032,0.826,0.8313,10.0,Promoter
appStore,2023-04-23 14:54:16+00:00,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)",1,"Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! ",2023-04-25 01:35:24+00:00,"['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",0,App Responsiveness,Difficulties in account registration,0.206,0.016,0.778,0.9568,10.0,Promoter
appStore,2023-01-05 07:08:13+00:00,"Great app, with awesome design and theme unlike traditional banking institutions. Provide high interest rates and suitable for targeted group of audience. Ratings were probably dragged down by reviewers who rated 1/5 because they couldn’t sign up - as GXS bank is rolling out to users by batches.

Overall a good experience! :)",5,Welcome aboard @alexfonghere! 🚀 We are thrilled to know that you love our app's interface! We work hard to meet expectations like yours and we’re happy to hear we hit the mark for you. 🤩,2023-01-07 01:01:16+00:00,,,,,,,,,,
appStore,2023-09-13 15:30:05+00:00,"Hit with fast reversal when transferring money to this gxs bank, first time in my life a fast transfer didn’t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I don’t need developer reply to my review here as I’m absolutely not going to touch this bank anymore. And biggest joke of all, you don’t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???",1,"Thank you for your valuable feedback! We're actively working on adding the payee feature to our app. If you ever encounter any issues in the meantime, please don't hesitate to reach out to our 24/7 hotline, and we'll be happy to assist you. Your input is much appreciated!",2023-09-14 02:01:47+00:00,"['fast', 'reversal', 'money', 'bank', 'time', 'life', 'fast', 'transfer', 'review', 'medium', 'bank', 'review', 'issue', 'need', 'developer', 'reply', 'review', 'touch', 'bank', 'joke', 'banking', 'feature', 'payee', 'detail', 'kind', 'development', 'staff', 'quality']",0,App Responsiveness,Difficulties in account registration,0.099,0.038,0.864,0.6848,9.0,Promoter
appStore,2022-12-10 11:32:55+00:00,"Very easy to use, user friendly and intuitive. Nice design of the app making it easier to navigate the app. Saving pocket is an interesting and useful feature. can’t wait to explore and use more of the app",5,"Hey there, thank you so much for your kind words about our app. We put a lot of effort into the app to make it intuitive and easy to navigate, so we are glad to hear that it has paid off. We are constantly working on new and exciting features, and we can't wait for you to try them out in the future. 😊",2022-12-12 01:39:46+00:00,"['user', 'design', 'navigate', 'pocket', 'feature', 'wait', 'explore']",9,Customer trust,Difficulty processing application,0.355,0.0,0.645,0.9485,10.0,Promoter
appStore,2022-09-08 07:14:48+00:00,"What a joke! Nothing happens after you input your phone number - nothing! 

It’ll be so much, and I don’t exaggerate when I say this, so much faster for you to travel from one end of Singapore to the other, to open an account at a traditional bank branch. 

One piece of advice to the management of GXS Bank - do not launch if you are not ready! You are a joke. Please look at Trust Bank. Simple and easy to use. Account opened in like, 2 mins?",1,Hi there! We are in early access phase and invitations are sent out in batches. Look out for an email from us.🙏,2022-09-09 13:50:08+00:00,,,,,,,,,,
appStore,2023-11-21 09:22:11+00:00,Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you,5,"Hi there! Thank you for taking your first step to digital banking with us. Your review means the world to us. 💜 We have been busy working on new and exciting stuff, and we can't wait for you to try them out in the future. 🚀",2023-11-11 17:31:31+00:00,"['time', 'digital', 'banking', 'worry', 'experience', 'return', 'offer', 'interest', 'continue', 'deposit', 'thank']",4,User Interface,Poor login functionality,0.277,0.035,0.688,0.9368,10.0,Promoter
appStore,2023-08-22 10:22:46+00:00,"My biggest frustration is that I can’t save payees when sending money.  Everytime I need to transfer funds, I have to select a transfer type and fully type out the account number, payee’s name, and select the bank.

This is incredibly tedious esp for accounts I pay frequently. Without this “fundamental” feature a payee list, it’s easy to make mistakes entering long account number, name and bank name each time.",1,"Thanks for sharing with us your thoughts on this, KiloBites. We greatly appreciate your feedback and look forward to continuously improving our GXS app. Rest assured that great things are in the works! 🚀",2023-08-13 00:51:52+00:00,,,,,,,,,,
appStore,2024-01-11 08:48:28+00:00,"Best bank to save up and best bank in receiving cash back! And also, so happy to be able to win a lucky draw from here! Hopefully things get much better in this year!",5,"Hi @Morrrrraaaa, we're thrilled to to know that you like our app and our promos! 🥳 We have been busy working on new and exciting stuff, and we can't wait for you to try them out in the future. 🚀Cheers to 2024! 🌈",2024-01-13 01:42:17+00:00,"['bank', 'bank', 'cash', 'draw', 'thing', 'year']",1,Money Growth (Interest Rates),Low interest rate,0.531,0.0,0.469,0.984,10.0,Promoter
appStore,2023-06-05 15:00:14+00:00,"App is very responsive, and interface is simple but comprehensive. Transaction speeds are very quick too.",5,"Thanks for the awesome review! We're thrilled that you find our app highly responsive, with a simple yet comprehensive interface. We're here to make your banking experience top-notch. Enjoy the app! 😄  ",2023-06-07 01:14:22+00:00,"['responsive', 'interface', 'simple', 'comprehensive', 'transaction', 'speed', 'quick']",9,Customer trust,Difficulty processing application,0.239,0.0,0.761,0.5262,8.0,Passive
appStore,2022-10-31 05:18:02+00:00,Despite a lengthy onboarding but my account got approved promptly. I like that the app is snappy and easy to use. Waiting for credit card so that I can switch to GXS as my main account.,5,Hey therel! Happy to hear you like our app! We're just as excited! 🤩 Thank you so much for your 5 star review! 🙏,2022-11-01 07:49:22+00:00,"['lengthy', 'account', 'credit', 'card', 'switch', 'account']",1,Money Growth (Interest Rates),Low interest rate,0.307,0.0,0.693,0.9349,10.0,Promoter
appStore,2023-11-16 19:29:12+00:00,"GXS offers seamless, fast and super effective digital services. 
Never ever I had such experience with other banks. GXS definitely is the bank of future! 
You must try it to believe!",5,"Hey MikeEkimC! We're absolutely thrilled that you fell head over heels for our app. 💜 Thank you for your 5-star review, it made our day! 🤩",2023-11-18 07:46:17+00:00,,,,,,,,,,
appStore,2022-10-06 02:05:55+00:00,"I recently used this digital bank, which has many security features and user friendly UI.
I 100% recommend to used this App.",5,"Hi Mani! Thank you for your 5 stars review. 💜 We are thrilled to know that you like the app security and our user interface! 🤩 We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you.🚀",2022-10-07 07:22:38+00:00,,,,,,,,,,
appStore,2022-12-16 02:50:05+00:00,"The app’s interface is really user friendly and sleek! It loads very fast as well, can’t wait to start using this digital bank app :)",5,Hey there! Thank you for your 5 stars review. 🤩 We are thrilled to know that you love our app's interface and we're constantly working to make it even better! 💜 ,2022-12-17 08:40:26+00:00,"['interface', 'user', 'sleek', 'load', 'fast', 'wait', 'start', 'digital', 'bank']",9,Customer trust,Difficulty processing application,0.293,0.0,0.707,0.8456,10.0,Promoter
appStore,2023-09-12 05:10:29+00:00,Already 1 year but basic functions like adding payee is not in the app. It’s so troublesome to transfer funds to different bank accounts! With your latest move to reduce interest to 2.68% has made me feels like maribank is better even with slightly lower interest rate because they knows what basic functions to include in the app,1,"Hi there, thank you for your valuable feedback. 🙏 We appreciate you taking the time to share your thoughts with us and have captured this as part of our continuous improvement process. 💜\r",2023-09-13 17:19:13+00:00,"['year', 'function', 'payee', 'troublesome', 'transfer', 'fund', 'bank', 'account', 'move', 'interest', 'feel', 'maribank', 'interest', 'rate', 'function', 'include']",1,Money Growth (Interest Rates),Low interest rate,0.235,0.106,0.659,0.8751,10.0,Promoter
appStore,2024-02-24 06:12:02+00:00,"Extremely disappointed with the GXS app. Despite consistent use on the same device for a long time, it suddenly stopped allowing money transfers with explanation device changed. This lack of clarity and abrupt disruption in service is unacceptable. Terrible user experience, deserves only 1 star.",1,"Hey there! We're sorry to hear about your experience. 🙏 We understand the importance of this matter and are committed to make things right for you. Could you please get in touch with us via Live Chat or call, at (+65) 3105 2055, so that we can assist you further? We’d be happy to make things right for you! 💜",2024-02-25 17:57:31+00:00,"['consistent', 'device', 'time', 'money', 'transfer', 'explanation', 'device', 'lack', 'clarity', 'abrupt', 'disruption', 'service', 'user', 'experience', 'star']",4,User Interface,Poor login functionality,0.047,0.289,0.664,-0.9156,0.0,Detractor
appStore,2023-12-07 07:21:02+00:00,"Wish more people can download and use, and more rewards can be given.",5,Hi Adrian! We're thrilled that you're enjoying our app features. It's heartening to know our services have been beneficial and positive for you. We're hopeful that our future reward features will continue to satisfy and excite you! 🚀💜,2023-12-08 17:44:06+00:00,"['wish', 'download', 'reward']",1,Money Growth (Interest Rates),Low interest rate,0.356,0.0,0.644,0.7264,9.0,Promoter
appStore,2023-11-11 07:18:42+00:00,Can try for saving money !! My money said they liked there,5,"Hey there! We are happy that you like our app! You have made our day, and we are definitely striving to improve our products to serve you better! 🚀💜",2023-11-13 05:18:58+00:00,"['money', 'money']",5,Credit card usage,Inability to save money,0.235,0.0,0.765,0.5242,8.0,Passive
