dataFrom,date,review,rating,extracted_devresp,devresp_time,Positive Score,Negative Score,Neutral Score,Compound Score,nps_indiv,nps_category,clean_review,Topic_Number,Topic_Name,date_only,Topic,Unnamed: 1,key
appStore,2024-03-06 08:36:37,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,4,"Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊",NaT,0.367,0.024,0.609,0.9622,10,Promoter,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",4,User Interface,2024-03-06,,,
appStore,2022-10-02 04:17:49,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!",5,"Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n",NaT,0.141,0.032,0.826,0.8313,10,Promoter,"['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",4,User Interface,2022-10-02,,,
appStore,2023-04-23 14:54:16,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)",1,"Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! ",NaT,0.206,0.016,0.778,0.9568,10,Promoter,"['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",0,App Responsiveness,2023-04-23,,,
appStore,2023-09-13 15:30:05,"Hit with fast reversal when transferring money to this gxs bank, first time in my life a fast transfer didn’t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I don’t need developer reply to my review here as I’m absolutely not going to touch this bank anymore. And biggest joke of all, you don’t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???",1,"Thank you for your valuable feedback! We're actively working on adding the payee feature to our app. If you ever encounter any issues in the meantime, please don't hesitate to reach out to our 24/7 hotline, and we'll be happy to assist you. Your input is much appreciated!",NaT,0.099,0.038,0.864,0.6848,9,Promoter,"['fast', 'reversal', 'money', 'bank', 'time', 'life', 'fast', 'transfer', 'review', 'medium', 'bank', 'review', 'issue', 'need', 'developer', 'reply', 'review', 'touch', 'bank', 'joke', 'banking', 'feature', 'payee', 'detail', 'kind', 'development', 'staff', 'quality']",0,App Responsiveness,2023-09-13,,,
appStore,2022-12-10 11:32:55,"Very easy to use, user friendly and intuitive. Nice design of the app making it easier to navigate the app. Saving pocket is an interesting and useful feature. can’t wait to explore and use more of the app",5,"Hey there, thank you so much for your kind words about our app. We put a lot of effort into the app to make it intuitive and easy to navigate, so we are glad to hear that it has paid off. We are constantly working on new and exciting features, and we can't wait for you to try them out in the future. 😊",NaT,0.355,0.0,0.645,0.9485,10,Promoter,"['user', 'design', 'navigate', 'pocket', 'feature', 'wait', 'explore']",9,Customer trust,2022-12-10,,,
appStore,2023-11-21 09:22:11,Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you,5,"Hi there! Thank you for taking your first step to digital banking with us. Your review means the world to us. 💜 We have been busy working on new and exciting stuff, and we can't wait for you to try them out in the future. 🚀",NaT,0.277,0.035,0.688,0.9368,10,Promoter,"['time', 'digital', 'banking', 'worry', 'experience', 'return', 'offer', 'interest', 'continue', 'deposit', 'thank']",4,User Interface,2023-11-21,User Interface,25.0,Others
appStore,2024-01-11 08:48:28,"Best bank to save up and best bank in receiving cash back! And also, so happy to be able to win a lucky draw from here! Hopefully things get much better in this year!",5,"Hi @Morrrrraaaa, we're thrilled to to know that you like our app and our promos! 🥳 We have been busy working on new and exciting stuff, and we can't wait for you to try them out in the future. 🚀Cheers to 2024! 🌈",NaT,0.531,0.0,0.469,0.984,10,Promoter,"['bank', 'bank', 'cash', 'draw', 'thing', 'year']",1,Money Growth (Interest Rates),2024-01-11,Money Growth (Interest Rates),36.0,Others
appStore,2023-06-05 15:00:14,"App is very responsive, and interface is simple but comprehensive. Transaction speeds are very quick too.",5,"Thanks for the awesome review! We're thrilled that you find our app highly responsive, with a simple yet comprehensive interface. We're here to make your banking experience top-notch. Enjoy the app! 😄  ",NaT,0.239,0.0,0.761,0.5262,8,Passive,"['responsive', 'interface', 'simple', 'comprehensive', 'transaction', 'speed', 'quick']",9,Customer trust,2023-06-05,Customer trust,29.0,Others
appStore,2022-10-31 05:18:02,Despite a lengthy onboarding but my account got approved promptly. I like that the app is snappy and easy to use. Waiting for credit card so that I can switch to GXS as my main account.,5,Hey therel! Happy to hear you like our app! We're just as excited! 🤩 Thank you so much for your 5 star review! 🙏,NaT,0.307,0.0,0.693,0.9349,10,Promoter,"['lengthy', 'account', 'credit', 'card', 'switch', 'account']",1,Money Growth (Interest Rates),2022-10-31,Money Growth (Interest Rates),31.0,Long onboarding process
appStore,2022-12-16 02:50:05,"The app’s interface is really user friendly and sleek! It loads very fast as well, can’t wait to start using this digital bank app :)",5,Hey there! Thank you for your 5 stars review. 🤩 We are thrilled to know that you love our app's interface and we're constantly working to make it even better! 💜 ,NaT,0.293,0.0,0.707,0.8456,10,Promoter,"['interface', 'user', 'sleek', 'load', 'fast', 'wait', 'start', 'digital', 'bank']",9,Customer trust,2022-12-16,,,
